trace,round_start_tsc,round_done_tsc,rest_start_tsc,trace_done_tsc,first_round_cycles,attacker_measurement_window_cycles,rest_aes_cycles,trace_wall_cycles
161,234987239126179,234987239127371,234987239188495,234987239189153,1192,61124,658,62974
162,234987239274919,234987239276083,234987239336911,234987239337577,1164,60828,666,62658
163,234987239432017,234987239433197,234987239494153,234987239494835,1180,60956,682,62818
164,234987239580649,234987239582335,234987239644975,234987239645645,1686,62640,670,64996
165,234987239732155,234987239733325,234987239795983,234987239796655,1170,62658,672,64500
166,234987239882663,234987239883815,234987239947243,234987239947907,1152,63428,664,65244
167,234987240034075,234987240035257,234987240097559,234987240098255,1182,62302,696,64180
168,234987240184021,234987240185329,234987240248203,234987240248867,1308,62874,664,64846
169,234987240334873,234987240335999,234987240398933,234987240399587,1126,62934,654,64714
170,234987240485903,234987240487087,234987240546811,234987240547477,1184,59724,666,61574
171,234987240633919,234987240635093,234987240698161,234987240698845,1174,63068,684,64926
172,234987240785233,234987240786391,234987240847403,234987240848093,1158,61012,690,62860
173,234987240934021,234987240935237,234987240996551,234987240997237,1216,61314,686,63216
174,234987241094351,234987241096531,234987241159625,234987241160297,2180,63094,672,65946
175,234987241247237,234987241248407,234987241310201,234987241310879,1170,61794,678,63642
176,234987241396997,234987241398157,234987241459895,234987241460573,1160,61738,678,63576
177,234987241546847,234987241548001,234987241612829,234987241613519,1154,64828,690,66672
178,234987241700681,234987241702759,234987241764227,234987241764937,2078,61468,710,64256
179,234987241861643,234987241862837,234987241923781,234987241924453,1194,60944,672,62810
180,234987242012827,234987242014001,234987242077649,234987242078323,1174,63648,674,65496
181,234987242167069,234987242168251,234987242230735,234987242231441,1182,62484,706,64372
182,234987242320501,234987242322713,234987242384767,234987242385457,2212,62054,690,64956
183,234987242474719,234987242476955,234987242539187,234987242539873,2236,62232,686,65154
184,234987242641253,234987242642485,234987242708147,234987242708819,1232,65662,672,67566
185,234987242809133,234987242810449,234987242839051,234987242839757,1316,28602,706,30624
186,234987242931103,234987242932303,234987242994859,234987242995541,1200,62556,682,64438
187,234987243087475,234987243088709,234987243150689,234987243151355,1234,61980,666,63880
188,234987243243173,234987243244375,234987243309973,234987243310627,1202,65598,654,67454
189,234987243408409,234987243409687,234987243473231,234987243473917,1278,63544,686,65508
190,234987243571325,234987243572557,234987243639449,234987243640105,1232,66892,656,68780
191,234987243738755,234987243740015,234987243804875,234987243805531,1260,64860,656,66776
192,234987243903445,234987243904703,234987243970289,234987243970925,1258,65586,636,67480
193,234987244068541,234987244070431,234987244137379,234987244138075,1890,66948,696,69534
194,234987244243121,234987244244437,234987244311227,234987244311909,1316,66790,682,68788
195,234987244416617,234987244418491,234987244484705,234987244485371,1874,66214,666,68754
196,234987244598525,234987244600043,234987244667363,234987244668031,1518,67320,668,69506
197,234987244785449,234987244787669,234987244853579,234987244854245,2220,65910,666,68796
198,234987244970593,234987244971989,234987245043805,234987245044511,1396,71816,706,73918
199,234987245160481,234987245162159,234987245232725,234987245233393,1678,70566,668,72912
200,234987245349451,234987245350885,234987245421857,234987245422549,1434,70972,692,73098
201,234987245539261,234987245540681,234987245611157,234987245611819,1420,70476,662,72558
202,234987245727751,234987245730083,234987245798003,234987245798699,2332,67920,696,70948
203,234987245914859,234987245916269,234987245987005,234987245987665,1410,70736,660,72806
204,234987246103333,234987246105685,234987246175373,234987246176075,2352,69688,702,72742
205,234987246292077,234987246293461,234987246365191,234987246365891,1384,71730,700,73814
206,234987246491875,234987246494267,234987246565775,234987246566449,2392,71508,674,74574
207,234987246682517,234987246684475,234987246753793,234987246754475,1958,69318,682,71958
208,234987246870509,234987246871955,234987246941561,234987246942241,1446,69606,680,71732
209,234987247057933,234987247060255,234987247127377,234987247128043,2322,67122,666,70110
210,234987247243783,234987247245205,234987247314031,234987247314719,1422,68826,688,70936
211,234987247430863,234987247432301,234987247504555,234987247505245,1438,72254,690,74382
212,234987247621141,234987247622569,234987247696145,234987247696825,1428,73576,680,75684
213,234987247799821,234987247800977,234987247865783,234987247866485,1156,64806,702,66664
214,234987247954277,234987247955467,234987248017349,234987248018009,1190,61882,660,63732
215,234987248103239,234987248104393,234987248169799,234987248170483,1154,65406,684,67244
216,234987248271973,234987248273113,234987248337907,234987248338577,1140,64794,670,66604
217,234987248425555,234987248426701,234987248488681,234987248489341,1146,61980,660,63786
218,234987248575147,234987248576293,234987248638013,234987248638703,1146,61720,690,63556
219,234987248724701,234987248725891,234987248789011,234987248789663,1190,63120,652,64962
220,234987248876167,234987248877319,234987248941357,234987248942023,1152,64038,666,65856
221,234987249028501,234987249030385,234987249092759,234987249093433,1884,62374,674,64932
222,234987249179955,234987249181111,234987249241421,234987249242081,1156,60310,660,62126
223,234987249328031,234987249329201,234987249393181,234987249393851,1170,63980,670,65820
224,234987249480067,234987249481225,234987249545815,234987249546479,1158,64590,664,66412
225,234987249633025,234987249634211,234987249697973,234987249698663,1186,63762,690,65638
226,234987249785039,234987249786205,234987249849055,234987249849715,1166,62850,660,64676
227,234987249943493,234987249944681,234987250007005,234987250007665,1188,62324,660,64172
228,234987250093681,234987250094891,234987250156759,234987250157459,1210,61868,700,63778
229,234987250244187,234987250245353,234987250307761,234987250308443,1166,62408,682,64256
230,234987250403459,234987250404631,234987250466381,234987250467049,1172,61750,668,63590
231,234987250553029,234987250555391,234987250617569,234987250618211,2362,62178,642,65182
232,234987250704223,234987250705369,234987250769329,234987250769995,1146,63960,666,65772
233,234987250863401,234987250864661,234987250927261,234987250927939,1260,62600,678,64538
234,234987251013829,234987251015005,234987251079647,234987251080307,1176,64642,660,66478
235,234987251166671,234987251168833,234987251231291,234987251231995,2162,62458,704,65324
236,234987251317967,234987251319155,234987251381759,234987251382433,1188,62604,674,64466
237,234987251469499,234987251470679,234987251532047,234987251532715,1180,61368,668,63216
238,234987251626907,234987251628119,234987251690371,234987251691043,1212,62252,672,64136
239,234987251777275,234987251778497,234987251839525,234987251840215,1222,61028,690,62940
240,234987251926463,234987251927639,234987251990369,234987251991053,1176,62730,684,64590
241,234987252077353,234987252078517,234987252139817,234987252140501,1164,61300,684,63148
242,234987252226217,234987252227369,234987252290239,234987252290885,1152,62870,646,64668
243,234987252377333,234987252378481,234987252442761,234987252443455,1148,64280,694,66122
244,234987252529253,234987252531403,234987252593227,234987252593887,2150,61824,660,64634
245,234987252679963,234987252682077,234987252743527,234987252744227,2114,61450,700,64264
246,234987252830285,234987252832903,234987252895093,234987252895769,2618,62190,676,65484
247,234987252981503,234987252982667,234987253046921,234987253047593,1164,64254,672,66090
248,234987253133663,234987253134857,234987253197161,234987253197841,1194,62304,680,64178
249,234987253284247,234987253285421,234987253346857,234987253347533,1174,61436,676,63286
250,234987253441363,234987253442533,234987253503031,234987253503691,1170,60498,660,62328
251,234987253589855,234987253591031,234987253653547,234987253654219,1176,62516,672,64364
252,234987253760149,234987253761371,234987253827487,234987253828177,1222,66116,690,68028
253,234987253917635,234987253918823,234987253982231,234987253982923,1188,63408,692,65288
254,234987254072479,234987254073677,234987254134777,234987254135483,1198,61100,706,63004
255,234987254224645,234987254226817,234987254290097,234987254290777,2172,63280,680,66132
256,234987254380349,234987254381557,234987254444629,234987254445299,1208,63072,670,64950
257,234987254537299,234987254538509,234987254603183,234987254603869,1210,64674,686,66570
258,234987254696283,234987254697499,234987254761667,234987254762341,1216,64168,674,66058
259,234987254855341,234987254856551,234987254919359,234987254920027,1210,62808,668,64686
260,234987255020999,234987255022231,234987255085553,234987255086195,1232,63322,642,65196
261,234987255178795,234987255179989,234987255243527,234987255244201,1194,63538,674,65406
262,234987255341921,234987255343651,234987255408461,234987255409121,1730,64810,660,67200
263,234987255507209,234987255508463,234987255576569,234987255577261,1254,68106,692,70052
264,234987255675545,234987255677473,234987255741299,234987255741967,1928,63826,668,66422
265,234987255839935,234987255841327,234987255906911,234987255907573,1392,65584,662,67638
266,234987256005379,234987256006643,234987256071325,234987256071979,1264,64682,654,66600
267,234987256176995,234987256179235,234987256244761,234987256245443,2240,65526,682,68448
268,234987256350181,234987256352411,234987256417087,234987256417771,2230,64676,684,67590
269,234987256521961,234987256523323,234987256589263,234987256589951,1362,65940,688,67990
270,234987256694755,234987256695965,234987256762495,234987256763167,1210,66530,672,68412
271,234987256883113,234987256884421,234987256954211,234987256954883,1308,69790,672,71770
272,234987257071263,234987257072683,234987257142797,234987257143487,1420,70114,690,72224
273,234987257259095,234987257260495,234987257329717,234987257330393,1400,69222,676,71298
274,234987257446399,234987257447821,234987257519305,234987257519977,1422,71484,672,73578
275,234987257636075,234987257637509,234987257706485,234987257707115,1434,68976,630,71040
276,234987257831549,234987257832935,234987257905591,234987257906263,1386,72656,672,74714
277,234987258021557,234987258023935,234987258090929,234987258091549,2378,66994,620,69992
278,234987258207761,234987258209171,234987258280711,234987258281371,1410,71540,660,73610
279,234987258397393,234987258398795,234987258470911,234987258471589,1402,72116,678,74196
280,234987258587771,234987258589213,234987258657991,234987258658667,1442,68778,676,70896
281,234987258784505,234987258786431,234987258857095,234987258857761,1926,70664,666,73256
282,234987258973891,234987258975367,234987259044409,234987259045067,1476,69042,658,71176
283,234987259161179,234987259162625,234987259231975,234987259232617,1446,69350,642,71438
284,234987259348403,234987259350703,234987259419985,234987259420667,2300,69282,682,72264
285,234987259537391,234987259538839,234987259608485,234987259609165,1448,69646,680,71774
286,234987259723037,234987259724891,234987259785901,234987259786567,1854,61010,666,63530
287,234987259881641,234987259883785,234987259943159,234987259943809,2144,59374,650,62168
288,234987260030065,234987260032205,234987260094235,234987260094899,2140,62030,664,64834
289,234987260181113,234987260183267,234987260245787,234987260246443,2154,62520,656,65330
290,234987260332729,234987260334871,234987260394071,234987260394731,2142,59200,660,62002
291,234987260480219,234987260481395,234987260542933,234987260543599,1176,61538,666,63380
292,234987260639009,234987260640191,234987260702221,234987260702899,1182,62030,678,63890
293,234987260788901,234987260790077,234987260851837,234987260852491,1176,61760,654,63590
294,234987260938727,234987260939909,234987261003557,234987261004225,1182,63648,668,65498
295,234987261090635,234987261092803,234987261154771,234987261155435,2168,61968,664,64800
296,234987261241693,234987261242869,234987261306871,234987261307543,1176,64002,672,65850
297,234987261393865,234987261395045,234987261458149,234987261458831,1180,63104,682,64966
298,234987261545549,234987261546727,234987261607733,234987261608377,1178,61006,644,62828
299,234987261694025,234987261695173,234987261758317,234987261758987,1148,63144,670,64962
300,234987261846191,234987261847349,234987261910547,234987261911185,1158,63198,638,64994
301,234987261997607,234987261998771,234987262061081,234987262061731,1164,62310,650,64124
302,234987262148351,234987262150495,234987262214147,234987262214827,2144,63652,680,66476
303,234987262307903,234987262309079,234987262371697,234987262372383,1176,62618,686,64480
304,234987262458655,234987262459823,234987262522093,234987262522741,1168,62270,648,64086
305,234987262608623,234987262609799,234987262674685,234987262675339,1176,64886,654,66716
306,234987262769147,234987262771369,234987262833241,234987262833919,2222,61872,678,64772
307,234987262920677,234987262921859,234987262984649,234987262985335,1182,62790,686,64658
308,234987263071925,234987263073089,234987263136031,234987263136689,1164,62942,658,64764
309,234987263222407,234987263223613,234987263285875,234987263286547,1206,62262,672,64140
310,234987263372621,234987263374777,234987263438539,234987263439215,2156,63762,676,66594
311,234987263525185,234987263526329,234987263588419,234987263589091,1144,62090,672,63906
312,234987263675165,234987263676331,234987263739685,234987263740379,1166,63354,694,65214
313,234987263826575,234987263827775,234987263889155,234987263889847,1200,61380,692,63272
314,234987263984605,234987263985773,234987264047005,234987264047695,1168,61232,690,63090
315,234987264134543,234987264135713,234987264198971,234987264199613,1170,63258,642,65070
316,234987264286129,234987264288337,234987264348319,234987264349009,2208,59982,690,62880
317,234987264434801,234987264436219,234987264497641,234987264498307,1418,61422,666,63506
318,234987264584675,234987264585821,234987264648163,234987264648847,1146,62342,684,64172
319,234987264734749,234987264735923,234987264797525,234987264798191,1174,61602,666,63442
320,234987264883967,234987264885145,234987264947089,234987264947753,1178,61944,664,63786
321,234987265033951,234987265036105,234987265099303,234987265100003,2154,63198,700,66052
322,234987265201441,234987265203169,234987265227419,234987265228099,1728,24250,680,26658
323,234987265313347,234987265315591,234987265377101,234987265377779,2244,61510,678,64432
324,234987265463983,234987265466135,234987265526287,234987265526969,2152,60152,682,62986
325,234987265620947,234987265622119,234987265683341,234987265683991,1172,61222,650,63044
326,234987265780339,234987265781537,234987265845593,234987265846253,1198,64056,660,65914
327,234987265935415,234987265936585,234987266000549,234987266001223,1170,63964,674,65808
328,234987266090327,234987266091521,234987266154577,234987266155237,1194,63056,660,64910
329,234987266244143,234987266245421,234987266308901,234987266309563,1278,63480,662,65420
330,234987266398165,234987266399329,234987266462353,234987266462995,1164,63024,642,64830
331,234987266554189,234987266556727,234987266620811,234987266621515,2538,64084,704,67326
332,234987266713931,234987266715143,234987266777863,234987266778485,1212,62720,622,64554
333,234987266870977,234987266872181,234987266935237,234987266935907,1204,63056,670,64930
334,234987267028381,234987267029957,234987267093673,234987267094339,1576,63716,666,65958
335,234987267187339,234987267188603,234987267250577,234987267251261,1264,61974,684,63922
336,234987267354859,234987267356111,234987267422027,234987267422701,1252,65916,674,67842
337,234987267520549,234987267521911,234987267587467,234987267588155,1362,65556,688,67606
338,234987267686059,234987267687319,234987267752879,234987267753553,1260,65560,674,67494
339,234987267851687,234987267852919,234987267920341,234987267921005,1232,67422,664,69318
340,234987268019281,234987268020539,234987268087447,234987268088125,1258,66908,678,68844
341,234987268192855,234987268194187,234987268260257,234987268260943,1332,66070,686,68088
342,234987268365655,234987268366981,234987268434361,234987268435039,1326,67380,678,69384
343,234987268540165,234987268541509,234987268607245,234987268607903,1344,65736,658,67738
344,234987268712485,234987268714771,234987268780103,234987268780771,2286,65332,668,68286
345,234987268894163,234987268895479,234987268964407,234987268965107,1316,68928,700,70944
346,234987269081413,234987269082805,234987269154437,234987269155111,1392,71632,674,73698
347,234987269286451,234987269287897,234987269359141,234987269359813,1446,71244,672,73362
348,234987269476103,234987269477507,234987269548913,234987269549573,1404,71406,660,73470
349,234987269665291,234987269667577,234987269737001,234987269737681,2286,69424,680,72390
350,234987269853649,234987269855101,234987269922839,234987269923517,1452,67738,678,69868
351,234987270039275,234987270040745,234987270109465,234987270110123,1470,68720,658,70848
352,234987270226621,234987270228031,234987270297017,234987270297703,1410,68986,686,71082
353,234987270413473,234987270414893,234987270483641,234987270484289,1420,68748,648,70816
354,234987270600223,234987270602575,234987270673061,234987270673741,2352,70486,680,73518
355,234987270789817,234987270791225,234987270861809,234987270862455,1408,70584,646,72638
356,234987270978499,234987270979907,234987271050823,234987271051459,1408,70916,636,72960
357,234987271176577,234987271178017,234987271248709,234987271249373,1440,70692,664,72796
358,234987271365181,234987271367563,234987271436329,234987271436983,2382,68766,654,71802
359,234987271553021,234987271555445,234987271625161,234987271625855,2424,69716,694,72834
360,234987271752293,234987271753757,234987271823323,234987271823989,1464,69566,666,71696
361,234987271939921,234987271942693,234987272012345,234987272013001,2772,69652,656,73080
362,234987272128969,234987272131223,234987272199397,234987272200069,2254,68174,672,71100
363,234987272316019,234987272317361,234987272389715,234987272390383,1342,72354,668,74364
364,234987272505847,234987272507261,234987272578193,234987272578867,1414,70932,674,73020
365,234987272694461,234987272695903,234987272765093,234987272765743,1442,69190,650,71282
366,234987272881697,234987272883109,234987272953613,234987272954257,1412,70504,644,72560
367,234987273078793,234987273080275,234987273150767,234987273151459,1482,70492,692,72666
368,234987273276169,234987273277579,234987273347867,234987273348555,1410,70288,688,72386
