index,hit_ticks,miss_ticks
1755,102,1086
1756,98,1092
1757,98,1088
1758,102,1088
1759,98,1090
1760,102,1084
1761,104,1086
1762,102,1094
1763,98,1092
1764,100,1084
1765,98,1096
1766,98,1592
1767,96,1090
1768,100,1094
1769,100,1086
1770,98,1094
1771,100,1098
1772,100,1086
1773,98,1080
1774,98,1090
1775,98,1086
1776,96,1092
1777,98,1092
1778,98,1084
1779,104,1086
1780,100,1098
1781,100,1086
1782,102,1088
1783,100,1092
1784,98,1082
1785,98,1086
1786,98,1092
1787,100,1098
1788,98,1618
1789,98,1090
1790,98,1092
1791,102,1096
1792,102,1094
1793,100,1088
1794,102,1088
1795,100,1088
1796,104,1086
1797,98,1092
1798,98,1092
1799,100,1098
1800,98,1084
1801,98,1100
1802,98,1086
1803,100,1084
1804,102,1088
1805,98,1088
1806,102,1094
1807,100,1096
1808,102,1088
1809,100,1650
1810,98,1088
1811,96,1088
1812,100,1086
1813,100,1086
1814,98,1084
1815,100,1098
1816,96,1086
1817,98,1092
1818,102,1086
1819,98,1098
1820,98,1090
1821,100,1082
1822,100,1094
1823,98,1098
1824,100,1090
1825,100,1096
1826,98,1088
1827,98,1090
1828,96,1096
1829,100,1092
1830,102,1092
1831,100,1566
1832,100,1086
1833,102,1092
1834,100,1098
1835,98,1080
1836,100,1090
1837,100,1098
1838,98,1086
1839,102,1096
1840,98,1086
1841,100,1088
1842,98,1084
1843,98,1086
1844,100,1092
1845,98,1086
1846,100,1094
1847,98,1086
1848,96,1090
1849,100,1080
1850,98,1086
1851,102,1090
1852,96,1088
1853,102,1606
1854,98,1088
1855,100,1086
1856,96,1086
1857,104,1088
1858,98,1092
1859,98,1092
1860,98,1080
1861,100,1096
1862,100,1086
1863,100,1098
1864,100,1090
1865,104,1086
1866,102,1092
1867,100,1084
